ON791977.1	𝟇.1.1
ON992613.1	𝟇.2.1
MW384169.1	𝟇.2.1
AB796453.1	𝟇.2.1
MT737528.1	𝟇.2.1
MG181374.1	𝟇.2.1
KC178807.1	𝟇.1.1
KY426813.1	𝟇.6.6
EF426133.1	𝟇.1.2
GU390448.2	𝟇.2.3
OR205481.1	𝟇.1.75
KJ752332.1	𝟇.2.3
MT276805.1	𝟇.1.72
HQ846859.1	𝟇.1.13
D16329.2	𝟇.12
KJ626778.1	𝟇.1.1
KJ412801.1	𝟇.20.1
KX632258.1	𝟇.1.1
EF200571.1	𝟇.1.30
OP263668.1	𝟇.1.1
EU372796.1	𝟇.4.10
KJ482501.1	𝟇.4.9
JN605441.1	𝟇.1.2
FJ947864.1	𝟇.22.5
MT271027.1	𝟇.60.1
AB908905.1	𝟇.7.1
FJ947235.1	𝟇.2.4
KU740021.1	𝟇.65.6
U85998.1	𝟇.22.4
MG891986.1	𝟇.1.9
MK953581.1	𝟇.2.19
OQ411031.1	𝟇.4.31
KJ752065.1	𝟇.1.26
EF554152.1	𝟇.1.78
KP753113.1	𝟇.1.9
KU887651.1	𝟇.66
MH060102.1	𝟇.1.12
JN651790.1	𝟇.2.5
EF554097.1	𝟇.1.25
OR514137.1	𝟇.1.89
HQ392373.1	𝟇.2.5
KX618234.1	𝟇.53.2
JN831213.1	𝟇.1.21
OL963766.1	𝟇.26.1
MH060082.1	𝟇.1.12
KF447843.1	𝟇.26.11
AB748568.1	𝟇.1.3
MT633342.1	𝟇.1.28
AY787645.1	𝟇.3.3
KF726057.1	𝟇.26.6
AB748570.1	𝟇.1.3
KC579634.1	𝟇.22.2
U04741.1	𝟇.2.18
LC438925.1	𝟇.22.2
EU372783.1	𝟇.4.10
KP119543.1	𝟇.2.22
EU372763.1	𝟇.4.16
JQ230101.1	𝟇.2.22
KC579502.1	𝟇.22.2
KP752575.1	𝟇.1.9
EU372760.1	𝟇.4.16
KT694998.1	𝟇.26.1
EU372751.1	𝟇.23.2
KR262154.1	𝟇.47.3
KC113249.1	𝟇.17.4
LC133518.1	𝟇.1.51
KF036169.1	𝟇.5.3
JX271005.1	𝟇.5.2
HM235508.1	𝟇.1.46
EU372761.1	𝟇.4.16
MK228043.1	𝟇.4.15
LK932203.1	𝟇.15.4
EF554119.1	𝟇.1.87
MN066765.1	𝟇.1.11
LC433789.1	𝟇.10.3
JX036369.1	𝟇.47.1
JQ818160.1	𝟇.2.3
KX632269.1	𝟇.2.12
JF720873.1	𝟇.1.39
LC119097.1	𝟇.5.12
ON059876.1	𝟇.87
GQ477127.2	𝟇.2.4
KJ748480.1	𝟇.1.67
KX826053.1	𝟇.71
KJ626620.1	𝟇.2.3
KC579987.1	𝟇.26.1
KJ626619.1	𝟇.2.5
JN014002.1	𝟇.1.15
KJ753044.1	𝟇.1.9
KF036133.1	𝟇.2.3
MK227391.1	𝟇.26.3
AF079357.1	𝟇.1.2
FJ947455.1	𝟇.22.2
JX567763.1	𝟇.1.24
KF740531.1	𝟇.35
JF796727.1	𝟇.4.12
MN556671.1	𝟇.84
AB779620.1	𝟇.4.32
MK228026.1	𝟇.4.15
LC367318.1	𝟇.1.77
KJ751606.1	𝟇.1.9
AB741653.1	𝟇.4.14
LK932187.1	𝟇.15.1
MN203570.1	𝟇.4.19
KC579655.1	𝟇.26.1
KX363436.1	𝟇.26.10
KU956011.1	𝟇.1.82
FJ947400.1	𝟇.22.1
KJ187603.1	𝟇.5.3
HM123818.1	𝟇.1.2
KX655455.1	𝟇.1.17
MW575221.1	𝟇.4.53
GU183245.1	𝟇.34
LC001930.1	𝟇.3.3
FJ947831.1	𝟇.2.4
DQ204741.1	𝟇.17.5
LK932193.1	𝟇.15.4
KC579896.1	𝟇.26.1
KP753010.1	𝟇.4.26
FJ947820.1	𝟇.22.1
JQ230092.1	𝟇.5.3
