AB608789.1|1994	1I
AY496879.2|1997	3I
DQ675519.1|1995	3I
FJ898456.1|1995	3I_B
JQ920480.1|1996-09-04	3I_B
JQ920485.1|1996-10-21	3I_B
KU509279.1|2008	3I_C
KY921906.1|2015-06	3I_A.1
MF004386.1|2012-10-04	3I_A
MF682968.1|2016-09-10	3I_A.1
MK894338.1|2018-02-05	3I_A.1
MN018370.1|2015-07-24	3I_A
MN018374.1|2015-09-28	3I_A
MN018377.1|2015-12-22	3I_A.2
MN018379.1|2015-10-03	3I_C
MN018380.1|2015-09-16	3I_C
MN018389.1|2017-02-15	3I_C
MN922035.1|2019-06-23	3I_A.2
MN922037.1|2019-08-02	3I_C
MT006158.1|2018-06-19	3I_A.1
MT921575.1|2016	3I_A
MW396463.1|2019-07-02	3I_A.2
MW946691.1|1992	3I_B
MW946955.1|1978	3I_B
OK605763.1|1985	3I_A
ON116130.1|2021-08	3I_A.2
ON127534.1|2021-08	3I_A.2
OP410996.1|2019-11	3I_A.1
OQ103317.1|2022-05-20	3I_A.1
AY496871.2|2002	3II_B
EU482452.1|2006	3II_A.1
EU482456.1|2006	3II_A.1
EU482462.1|2007	3II_A.1
EU660411.1|2006	3II_A.1
FJ432741.1|2007	3II_A.1
HM631854.1|2008	3II_A
KF955476.1|1983	3II
KJ737430.1|1983	3II
KT424097.1|2014-08-28	3II_B
KU509280.1|2011	3II_A.3
KY586702.1|2008	3II_A
KY586721.1|2000	3II_A.2
KY586724.1|2000	3II_A.2
KY586777.1|1999	3II_A.3
KY586818.1|2007	3II_B
MF682971.1|2013-07-22	3II_B
MN448977.1|2010-05-18	3II_A.3
MN448990.1|2011-12-27	3II_A.3
MW946651.1|1997	3II_A.2
MW946664.1|2011	3II_B
MW946718.1|2001	3II_A.2
MW946819.1|1999	3II_A.2
MW946863.1|2003	3II_A.2
MW946876.1|2003	3II_A
MW946926.1|1999	3II_A.3
MW946934.1|2011	3II_A.3
MZ857226.1|1991-09-17	3II_A
OK469354.1|1989	3II
OK469355.1|1973	3II
OK469356.1|1976	3II
EHIE21409Y22|2022	3III_B.1
EU081210.1|2005	3III_A.1
EU081214.1|2005	3III_A.1
EU081217.1|2005	3III_A.1
EU081225.1|2005	3III_A.1
EU596494.1|2007	3III_C.1
FJ547081.1|2001	3III_C.1
FJ644564.1|2007	3III_B
FJ882573.1|1993	3III_A
FJ882576.1|1994	3III_C
GQ868578.1|2007	3III_C.1
JQ922555.1|1966	3III
JQ922556.1|2005	3III_B.1
JQ922557.1|2005	3III_B.1
KJ830751.1|2014-01-26	3III_A.2
KU509282.1|2009	3III_B.2
KU509283.1|2006	3III_A.1
LC379197.1|2017-04-15	3III_B.2
LT996904.1|2007	3III_A.2
MG721059.2|2016	3III_A.2
MG721064.1|2016	3III_B.1
MH048677.1|2014-12	3III_A.2
MN018375.1|2015-10-23	3III_B.1
MN018378.1|2015-09-30	3III_B.1
MN964273.1|2019-11-09	3III_B.2
MT261977.1|2017-10-12	3III_B.2
MW288031.1|2018-11	3III_B.2
MZ008472.1|2013	3III_C.2
MZ008474.1|2013	3III_C.2
MZ008476.1|2014	3III_C.2
MZ544587.1|2019-03	3III_B
OM417340.1|2021-09-21	3III_C.2
OM417341.1|2021-09-19	3III_C.2
ON123655.1|2020	3III_B.3
ON900159.1|2019-06-01	3III_B.3
OP410993.1|2008-09	3III_A.2
OP895705.1|2018	3III_B.3
OQ603309.1|2015-09-15	3III_C.1
OQ603310.1|2015	3III_C
OQ603311.1|2015	3III_C.1
OQ721955.1|2022	3III_B.3
OQ821502.1|2021-08-12	3III_C.1
OQ948474.1|2019-09	3III_B.3
JQ922554.1|1963	3V
KM190937.1|1964	3V
KU050695.1|1956	3V
