PV093023.1	AStV-9.2.9
MW784099.1	AStV-9.3
PP228886.1	AStV-9.4
MW684826.1	AStV-9.2.5
MW684833.1	AStV-9.2.1
MW684824.1	AStV-9.2.5
OM469234.1	AStV-9.2.2
PP871786.1	AStV-9.5
HV511037.1	AStV-9.1.1
PV093022.1	AStV-9.2.9
MW784097.1	AStV-9.2.10
AB033998.1	AStV-9.1.1
OM469231.1	AStV-9.2.8
OM469235.1	AStV-9.2.2
OM469233.1	AStV-9.2.2
MW684820.1	AStV-9.2.3
OM469232.1	AStV-9.2.2
MW684825.1	AStV-9.2.11
MW784086.1	AStV-9.2.12
MW684819.1	AStV-9.2.6
PP871798.1	AStV-9.1.2
MW684827.1	AStV-9.2.11
MW684832.1	AStV-9.2.3
MW684818.1	AStV-9.2.4
MW684822.1	AStV-9.2.3
MW684829.1	AStV-9.2.7
MW684821.1	AStV-9.2.3
OM469236.1	AStV-9.2.2
PP871808.1	AStV-9.6
OM469229.1	AStV-9.2.8
NC_003790.1	AStV-9.1.1
