LC047787.1	AStV-2.3.4
MN150124.1	AStV-2.6
OR261089.2	AStV-2.15.1
HQ916313.1	AStV-2.10
ON682272.1	AStV-2.15.2
PX409559.1	AStV-2.19
ON624280.1	AStV-2.11
OQ686753.1	AStV-2.16.1
ON624275.1	AStV-2.3.1
PX941191.1	AStV-2.20
LC047797.1	AStV-2.5
ON624266.1	AStV-2.1.4
PX941305.1	AStV-2.22
ON624265.1	AStV-2.3.2
HQ916317.1	AStV-2.1.1
PX940991.1	AStV-2.18.1
PX941611.1	AStV-2.24
PX942072.1	AStV-2.26
PX941334.1	AStV-2.23
MW373714.1	AStV-2.9
ON624255.1	AStV-2.3.1
KM822593.1	AStV-2.2
MG660832.1	AStV-2.1.6
ON624272.1	AStV-2.3.2
PX941959.1	AStV-2.1.7
ON682287.1	AStV-2.3.2
ON682289.1	AStV-2.3.2
NC_024297.1	AStV-2.1.2
ON624269.1	AStV-2.12
MW373715.1	AStV-2.3.2
ON682278.1	AStV-2.3.2
ON624282.1	AStV-2.3.2
PX941304.1	AStV-2.21
ON682295.1	AStV-2.16.2
PX941975.1	AStV-2.25
PX409558.1	AStV-2.19
OQ686754.1	AStV-2.16.1
OQ686756.1	AStV-2.16.1
NC_037655.1	AStV-2.1.6
ON682290.1	AStV-2.3.2
ON682276.1	AStV-2.3.3
ON624284.1	AStV-2.1.3
MZ603733.1	AStV-2.3.3
MW373713.1	AStV-2.1.5
ON624281.1	AStV-2.12
PX941755.1	AStV-2.19
ON682292.1	AStV-2.3.2
ON624276.1	AStV-2.3.1
ON624277.1	AStV-2.13
PX941662.1	AStV-2.8.1
MW373712.1	AStV-2.8.4
ON624278.1	AStV-2.14
KJ620979.1	AStV-2.1.2
ON624273.1	AStV-2.8.3
NC_023631.1	AStV-2.10
NC_023630.1	AStV-2.1.1
OR148664.1	AStV-2.3.5
ON624268.1	AStV-2.11
PX941335.1	AStV-2.8.2
OR367611.1	AStV-2.18.2
MN150125.1	AStV-2.7
LC047796.1	AStV-2.4
ON624267.1	AStV-2.3.2
KJ620980.1	AStV-2.1.2
OQ686755.1	AStV-2.16.1
ON682293.1	AStV-2.3.1
OQ198051.1	AStV-2.17
